source,target,source_lexname,target_lexname,lexical_function
ls:fr:node:28764,ls:fr:node:29223,peur,ressentir,Oper1
ls:fr:node:28790,ls:fr:node:39134,ping-pong,faire,Oper1
ls:fr:node:28790,ls:fr:node:39115,ping-pong,jouer,Oper1
ls:fr:node:28865,ls:fr:node:44202,politique,appliquer,Oper1
ls:fr:node:28865,ls:fr:node:44203,politique,conduire,Oper1
ls:fr:node:28865,ls:fr:node:40127,politique,mener,Oper1
ls:fr:node:28865,ls:fr:node:40620,politique,poursuivre,Oper1
ls:fr:node:28865,ls:fr:node:39118,politique,pratiquer,Oper1
ls:fr:node:28921,ls:fr:node:26434,pouvoir,avoir,Oper1
ls:fr:node:28921,ls:fr:node:35424,pouvoir,exercer,Oper1
ls:fr:node:28921,ls:fr:node:43735,pouvoir,posséder,Oper1
ls:fr:node:28921,ls:fr:node:41608,pouvoir,tenir,Oper1
ls:fr:node:28964,ls:fr:node:56691,priorité,avoir,Oper1
ls:fr:node:28973,ls:fr:node:28041,procès,juger,Oper1
ls:fr:node:29053,ls:fr:node:53356,question,poser,Oper1
ls:fr:node:29079,ls:fr:node:56691,rage,avoir,Oper1
ls:fr:node:29079,ls:fr:node:50447,rage,souffrir,Oper1
ls:fr:node:29251,ls:fr:node:56691,rhumatisme,avoir,Oper1
ls:fr:node:29251,ls:fr:node:50447,rhumatisme,souffrir,Oper1
ls:fr:node:29252,ls:fr:node:56691,rhume,avoir,Oper1
ls:fr:node:29252,ls:fr:node:50447,rhume,souffrir,Oper1
ls:fr:node:29262,ls:fr:node:44960,risque,courir,Oper1
ls:fr:node:29286,ls:fr:node:47702,rouge,passer,Oper1
ls:fr:node:29286,ls:fr:node:46178,rouge,virer,Oper1
ls:fr:node:29296,ls:fr:node:39134,rugby,faire,Oper1
ls:fr:node:29296,ls:fr:node:39115,rugby,jouer,Oper1
ls:fr:node:29383,ls:fr:node:56691,sentiment,avoir,Oper1
ls:fr:node:29383,ls:fr:node:27370,sentiment,éprouver,Oper1
ls:fr:node:29406,ls:fr:node:39134,sieste,faire,Oper1
ls:fr:node:29450,ls:fr:node:31596,somme,calculer,Oper1
ls:fr:node:29490,ls:fr:node:33606,spectacle,donner,Oper1
ls:fr:node:29494,ls:fr:node:39134,sport,faire,Oper1
ls:fr:node:29593,ls:fr:node:26434,téléphone,avoir,Oper1
ls:fr:node:29600,ls:fr:node:41447,tempête,être,Oper1
ls:fr:node:29600,ls:fr:node:38831,tempête,essuyer,Oper1
ls:fr:node:29600,ls:fr:node:29510,tempête,subir,Oper1
ls:fr:node:29600,ls:fr:node:44788,tempête,pris,Oper1
ls:fr:node:29600,ls:fr:node:44789,tempête,surpris,Oper1
ls:fr:node:29608,ls:fr:node:39134,tennis,faire,Oper1
ls:fr:node:29608,ls:fr:node:39115,tennis,jouer,Oper1
ls:fr:node:29645,ls:fr:node:41447,toilette,être,Oper1
ls:fr:node:29645,ls:fr:node:39134,toilette,faire,Oper1
ls:fr:node:29645,ls:fr:node:41832,toilette,procéder,Oper1
ls:fr:node:29645,ls:fr:node:40869,toilette,réaliser,Oper1
ls:fr:node:29645,ls:fr:node:36320,toilette,se livrer,Oper1
ls:fr:node:29658,ls:fr:node:43700,tornade,connaître,Oper1
ls:fr:node:29658,ls:fr:node:38831,tornade,essuyer,Oper1
ls:fr:node:29658,ls:fr:node:29510,tornade,subir,Oper1
ls:fr:node:29673,ls:fr:node:39134,tournée,faire,Oper1
ls:fr:node:29673,ls:fr:node:35390,tournée,effectuer,Oper1
ls:fr:node:29721,ls:fr:node:56691,tristesse,avoir,Oper1
ls:fr:node:29721,ls:fr:node:27370,tristesse,éprouver,Oper1
ls:fr:node:29721,ls:fr:node:29223,tristesse,ressentir,Oper1
ls:fr:node:29873,ls:fr:node:39134,volley-ball,faire,Oper1
ls:fr:node:29873,ls:fr:node:39115,volley-ball,jouer,Oper1
ls:fr:node:29883,ls:fr:node:39134,voyage,faire,Oper1
ls:fr:node:29883,ls:fr:node:35390,voyage,effectuer,Oper1
ls:fr:node:29937,ls:fr:node:39909,musique,jouer,Oper1
ls:fr:node:29965,ls:fr:node:33677,famille,appartenir,Oper1
ls:fr:node:29965,ls:fr:node:38628,famille,faire partie,Oper1
ls:fr:node:29968,ls:fr:node:27370,bien,éprouver,Oper1
ls:fr:node:29968,ls:fr:node:29223,bien,ressentir,Oper1
ls:fr:node:30002,ls:fr:node:38681,air,avoir,Oper1
ls:fr:node:30514,ls:fr:node:56691,effroi,avoir,Oper1
ls:fr:node:30514,ls:fr:node:27370,effroi,éprouver,Oper1
ls:fr:node:30514,ls:fr:node:29223,effroi,ressentir,Oper1
ls:fr:node:30533,ls:fr:node:56691,admiration,avoir,Oper1
ls:fr:node:30533,ls:fr:node:27370,admiration,éprouver,Oper1
ls:fr:node:30533,ls:fr:node:29223,admiration,ressentir,Oper1
