source,target,source_lexname,target_lexname
ls:fr:node:33208,ls:fr:node:39134,siège,faire
ls:fr:node:33386,ls:fr:node:39134,vélo,faire
ls:fr:node:35344,ls:fr:node:39509,promesse,faire
ls:fr:node:35218,ls:fr:node:39134,compte,faire
ls:fr:node:30953,ls:fr:node:39134,cri,faire
ls:fr:node:34117,ls:fr:node:39134,don,faire
ls:fr:node:35109,ls:fr:node:39134,visite,faire
ls:fr:node:48744,ls:fr:node:39134,vacherie,faire
ls:fr:node:27497,ls:fr:node:38628,famille,faire partie
ls:fr:node:27348,ls:fr:node:38628,environnement,faire partie
ls:fr:node:38288,ls:fr:node:38628,corps,faire partie
ls:fr:node:56457,ls:fr:node:38628,Résistance,faire partie
ls:fr:node:28466,ls:fr:node:38628,nation,faire partie
ls:fr:node:56456,ls:fr:node:38628,résistance,faire partie
ls:fr:node:30654,ls:fr:node:38628,majorité,faire partie
ls:fr:node:56472,ls:fr:node:51111,empathie,faire preuve
ls:fr:node:30601,ls:fr:node:51111,animosité,faire preuve
ls:fr:node:51127,ls:fr:node:51111,compassion,faire preuve
ls:fr:node:45647,ls:fr:node:29919,tête,figurer
ls:fr:node:44192,ls:fr:node:31074,nuage,flotter
ls:fr:node:33405,ls:fr:node:33405,foot,foot
ls:fr:node:31028,ls:fr:node:46072,rivière,former
ls:fr:node:26934,ls:fr:node:39416,couple,former
ls:fr:node:33928,ls:fr:node:39416,train,former
ls:fr:node:44153,ls:fr:node:46072,fleuve,former
ls:fr:node:53666,ls:fr:node:45516,bâtons dans les roues,foutre
ls:fr:node:53375,ls:fr:node:55113,ravissement,goûter
ls:fr:node:52874,ls:fr:node:55113,satisfaction,goûter
ls:fr:node:26526,ls:fr:node:55113,bonheur,goûter
ls:fr:node:52009,ls:fr:node:55113,plaisir,goûter
ls:fr:node:53543,ls:fr:node:53627,mélancolie,inspirer
ls:fr:node:42760,ls:fr:node:28021,bouteille à la mer,jeter
ls:fr:node:42917,ls:fr:node:44580,éclair,jeter
ls:fr:node:48309,ls:fr:node:41633,voile,jeter
ls:fr:node:53666,ls:fr:node:28021,bâtons dans les roues,jeter
ls:fr:node:53914,ls:fr:node:41633,lumière,jeter
ls:fr:node:53722,ls:fr:node:44351,coup d’œil,jeter
ls:fr:node:41200,ls:fr:node:41633,coup de projecteur,jeter
ls:fr:node:30953,ls:fr:node:28021,cri,jeter
ls:fr:node:28790,ls:fr:node:39115,ping-pong,jouer
ls:fr:node:48998,ls:fr:node:39115,badminton,jouer
ls:fr:node:40386,ls:fr:node:53941,coup,jouer
ls:fr:node:29608,ls:fr:node:39115,tennis,jouer
ls:fr:node:53942,ls:fr:node:53941,tour,jouer
ls:fr:node:26471,ls:fr:node:39115,basket,jouer
ls:fr:node:29873,ls:fr:node:39115,volley-ball,jouer
ls:fr:node:27584,ls:fr:node:39115,football,jouer
ls:fr:node:33817,ls:fr:node:39287,cor,jouer
ls:fr:node:29296,ls:fr:node:39115,rugby,jouer
ls:fr:node:29937,ls:fr:node:39909,musique,jouer
ls:fr:node:28973,ls:fr:node:28041,procès,juger
ls:fr:node:42917,ls:fr:node:32271,éclair,lancer
ls:fr:node:42760,ls:fr:node:29997,bouteille à la mer,lancer
ls:fr:node:51239,ls:fr:node:31751,prédiction,lancer
ls:fr:node:53722,ls:fr:node:31753,coup d’œil,lancer
ls:fr:node:36136,ls:fr:node:31751,injure,lancer
ls:fr:node:30953,ls:fr:node:31179,cri,lancer
ls:fr:node:30953,ls:fr:node:44414,cri,lâcher
ls:fr:node:42694,ls:fr:node:44414,vent,lâcher
ls:fr:node:44185,ls:fr:node:28235,repas,manger
ls:fr:node:26387,ls:fr:node:28239,attitude,manifester
ls:fr:node:56472,ls:fr:node:28239,empathie,manifester
ls:fr:node:51127,ls:fr:node:28239,compassion,manifester
ls:fr:node:30601,ls:fr:node:28239,animosité,manifester
ls:fr:node:40551,ls:fr:node:39549,route,marcher
ls:fr:node:42723,ls:fr:node:40127,train de vie,mener
ls:fr:node:28865,ls:fr:node:40127,politique,mener
ls:fr:node:41130,ls:fr:node:40127,coup de filet,mener
ls:fr:node:33969,ls:fr:node:40127,train,mener
ls:fr:node:54382,ls:fr:node:45204,haro,mettre
ls:fr:node:38902,ls:fr:node:45204,coup de fouet,mettre
ls:fr:node:42760,ls:fr:node:28341,bouteille à la mer,mettre
ls:fr:node:47507,ls:fr:node:44140,les pieds sous la table,mettre
ls:fr:node:42697,ls:fr:node:45204,vent,mettre
ls:fr:node:48309,ls:fr:node:32623,voile,mettre
ls:fr:node:45790,ls:fr:node:45204,carton rouge,mettre
ls:fr:node:53666,ls:fr:node:28341,bâtons dans les roues,mettre
ls:fr:node:56472,ls:fr:node:44694,empathie,montrer
ls:fr:node:51127,ls:fr:node:44694,compassion,montrer
ls:fr:node:30601,ls:fr:node:44694,animosité,montrer
ls:fr:node:38386,ls:fr:node:38897,visage,montrer
ls:fr:node:26387,ls:fr:node:44438,attitude,observer
ls:fr:node:45647,ls:fr:node:40022,tête,occuper
ls:fr:node:28333,ls:fr:node:40975,messe,officier
ls:fr:node:38386,ls:fr:node:43764,visage,offrir
ls:fr:node:42642,ls:fr:node:43764,ressemblance,offrir
ls:fr:node:44189,ls:fr:node:28583,repas,organiser
ls:fr:node:43591,ls:fr:node:28644,désert,parcourir
ls:fr:node:45176,ls:fr:node:42619,analogie,partager
ls:fr:node:32898,ls:fr:node:28668,course,participer
ls:fr:node:47729,ls:fr:node:41942,visite médicale,passer
ls:fr:node:27185,ls:fr:node:41576,douche,passer
ls:fr:node:29286,ls:fr:node:47702,rouge,passer
ls:fr:node:38365,ls:fr:node:38830,savon,passer
ls:fr:node:26383,ls:fr:node:39361,attentat,perpétrer
ls:fr:node:53835,ls:fr:node:39361,putsch,perpétrer
